Architect,Condition,Construction Date,Contributing to a National Register District,Current Function,Former Street Number,Historic Function,Integrity,Landmark or National Register,Listing in Existing Survey,National Register Criterion,Noteworthy Buildings Less Than 50 Years Old,PIN Number(s),Potentially Contributing to a  National Register District,Reason for Significance,Secondary Structure,Secondary Structure Condition,Secondary Structure Integrity,Significant,Street,Street Number,Survey Area,Alterations,Architect 1 Information,Architect 2 Information,Architectural Classification or Style,Category,Construction Cost,Contractor 1 Information,Contractor 2 Information,Current Name,Current Wall Material 1,Current Wall Material 2,Direction,Door,Door Detailing,Dormers,Foundation Material or Form,Historic Name,Landscape or Streetscape,Listed in an Existing Survey,Notes,Number of Stories,Origional Building Owner,Origional Wall Material 1,Origional Wall Material 2,Ornamentation,Permit,Porch,Preparer,Preparer Organization or Entity,Research or Archival Information,Roof Material,Roof Ornamentation,Roof Type,Significant Features,Storefront Material,Storm Door,Subdivision,Survey Date,Vernacular Styles or Building Form,Wall Detailing or Ornamentation,Window Configuration,Window Detail,Window Material 1,Window Material 2,Window Storms,Window Type
-,Excellent,1920,-,Single Family Residential Building,176,Single Family Residential Building,Good,-,-,-,-,15-12-301-004-0000,Yes,-,Garage,Excellent,Good,No,Keystone Avenue,335,4,Windows have been replaced on west elevation,-,-,Italian Renaissance,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 15 2012,-,-,-,-,-,-,-,-
-,Excellent,1917,-,Single Family Residential Building,180,Single Family Residential Building,Excellent,-,-,-,-,15-12-301-003-0000,Yes,-,Garage,Excellent,-,No,Keystone Avenue,339,4,-,-,-,Prairie,-,-,-,-,-,Stucco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 25 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1919,-,Single Family Residential Building,-,Single Family Residential Building,Good,-,-,-,-,15-12-301-002-0000,Yes,-,Garage,Excellent,Good,No,Keystone Avenue,343,4,Front steps replaced.,-,-,Colonial Revival,-,-,-,-,-,Brick,Vinyl Siding,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,Gambrel,-,-,-,-,October 25 2012,-,-,-,-,-,-,-,-
-,Excellent,1917,No,Single Family Residential Building,188,Single Family Residential Building,Poor,No,-,-,-,15-12-300-026-0000,-,-,Garage,Excellent,Good,No,Gale Avenue,347,4,This house may have been substantially altered with a new second floor addition.,-,-,Craftsman,-,-,-,-,-,Vinyl Siding,-,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,-,-,-,-,-,-,-,-
-,Excellent,1882,Yes,Single Family Residential Building,145,Single Family Residential Building,Excellent,Yes,-,"C
A",-,15-12-300-024-0000,-,An outstanding example of Queen Anne residential architecture with Stick style elements.,Carriage House,Excellent,Excellent,Yes,Keystone Avenue,306,4,-,-,-,Queen Anne,-,-,-,-,-,Wood clapboard,Wood Shingles,-,-,Sidelights,-,Stone,William Hatch House,-,-,-,3,William Hatch House,Wood clapboard,Wood Shingles,-,-,Partial,Nick Kalogeresis at The Lakota Group,-,Hatch House National Register Nomination.,Asphalt Shingle,-,Hipped with Cross Gable,Extensive bandboard trim suggestive of the Stick Style; spindled porches; carriage house.,-,-,-,October 3 2012,-,Bandboards,1 over 1,-,Wood,-,-,Double-Hung
-,Excellent,1927,-,Single Family Residential Building,151,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-023-0000,Yes,-,Garage,Excellent,Excellent,No,Keystone Avenue,310,4,-,-,-,Tudor Revival,-,-,-,-,-,Wood clapboard,Stucco,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,-,Timbering,-,-,-,-,-,-
-,Excellent,1924,-,Single Family Residential Building,155,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-022-0000,Yes,-,Garage,Excellent,Excellent,No,Keystone Avenue,314,4,-,-,-,Tudor Revival,-,-,-,-,-,Stone,Stucco,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 5 2012,-,-,-,-,-,-,-,-
-,Excellent,1940,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-021-0000,Yes,-,-,-,-,No,Keystone Avenue,320,4,Front portico porch may have been added at later date.,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 5 2012,-,-,-,-,-,-,-,-
-,Excellent,1920,-,Single Family Residential Building,165,Single Family Residential Building,Good,-,-,-,-,15-12-300-019-0000  15-12-300-020-0000,Yes,-,Garage,Excellent,Excellent,No,Keystone Avenue,330,4,This house has had later remodelings with Classical porch and first floor stone refacing; soffits and some windows have been replaced.,-,-,Queen Anne,-,-,-,-,-,Stone,Stucco,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,Full Height,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1940,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-018-0000,Yes,-,Garage,Excellent,Good,No,Keystone Avenue,332,4,-,-,-,Colonial Revival,-,-,-,-,-,Brick,Wood clapboard,-,-,-,-,-,-,-,-,check materials,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,-,-,-,-,-,-,-,-
Edward Marks,Excellent,1968,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-12-300-017-0000,No,-,Garage,Excellent,Excellent,No,Keystone Avenue,336,4,-,Edward Marks,-,Mid-Century Modern,-,-,-,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,Check construction date.,2.5,Moore Peregrine,-,-,-,Yes,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,-,-,-,-,-,-,-,-
-,Excellent,1883,Yes,Single Family Residential Building,187,Single Family Residential Building,Excellent,No,Illinois Historic Structures Surveys,C,-,15-12-300-015-0000  15-12-300-016-0000,-,"An outstanding example of Italianate ""villa"" architecture with high integrity. Constructed by one of River Forest's most prominent early citizens.  This house retains a high level of integrity.",Garage,Excellent,Good,Yes,Keystone Avenue,344,4,Swimming pool in rear house in Italianate styled barn.,-,-,Italianate,-,-,-,-,-,Brick,-,-,-,Transom,Hipped,Stone,William F. Blocki House,-,-,construction date per owner's research and materials in the house,3,William F. Blocki ,Brick,-,-,-,Partial,Nick Kalogeresis at The Lakota Group,-,Fields: A Guidebook to River Forest Architecture,Asphalt Shingle,Towers/Turrets,Mansard,Central bay belvedere tower  window hoods  porch.,-,-,-,October 3 2012,-,-,1 over 1,Hood Mold,Wood,-,No,Double-Hung
-,Good,1911,Yes,Single Family Residential Building,144,Single Family Residential Building,Good,-,-,-,-,15-12-300-014-0000,-,-,Garage,Excellent,Excellent,No,Gale Avenue,303,4,Porch enclosed at later date with addition of bay window on west elevation.,-,-,Craftsman,-,-,-,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,Check permits.,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1904,Yes,Single Family Residential Building,-,Single Family Residential Building,Good,-,-,-,-,15-12-300-013-0000,-,-,Garage,Excellent,Excellent,No,Gale Avenue,307,4,Windows replaced on west elevation; wing on north elevation may be later addition.,-,-,Craftsman,-,-,-,-,-,Wood clapboard,Stucco,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,Foursquare,-,-,-,-,-,-,-
-,Excellent,1940,Yes,Single Family Residential Building,-,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-011-0000,-,-,Garage,Excellent,Excellent,No,Gale Avenue,311,4,-,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,-,-,-,-,-,-,-,-
-,Excellent,1914,Yes,Single Family Residential Building,158,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-010-0000,-,-,Garage,Excellent,Good,No,Gale Avenue,319,4,Porch may have been remodeled; windows in dormers replaced.,-,-,Craftsman,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1894,Yes,Single Family Residential Building,160,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-009-0000,-,-,Garage,Excellent,Good,No,Gale Avenue,323,4,-,-,-,Queen Anne,-,-,-,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,-,Shingles/Shingle Pattern,-,-,-,-,-,-
-,Excellent,1889,Yes,Single Family Residential Building,164,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-008-0000,-,-,Attached Garage,Excellent,Excellent,No,Gale Avenue,327,4,Attached garage constructed at later date.,-,-,Queen Anne,-,-,-,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 5 2012,-,-,-,-,-,-,-,-
-,Excellent,1953,Yes,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-300-007-0000,-,-,-,-,-,No,Gale Avenue,333,4,Second dormer added on north elevation.,-,-,-,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 5 2012,Ranch,-,-,-,-,-,-,-
-,Excellent,1893,Yes,Single Family Residential Building,172,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-006-0000,-,-,Garage,Excellent,Excellent,No,Gale Avenue,335,4,-,-,-,Queen Anne,-,-,-,-,-,Wood clapboard,Wood Shingles,-,-,-,-,-,-,-,-,-,2.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,Towers/Turrets,-,-,-,-,-,October 3 2012,-,Shingles/Shingle Pattern,-,-,-,-,-,-
-,Excellent,1921,Yes,Single Family Residential Building,180,Single Family Residential Building,Excellent,-,-,-,-,15-12-300-005-0000,-,-,Garage,Excellent,Good,No,Gale Avenue,339,4,Windows replaced on north elevation,-,-,Prairie,-,-,-,-,-,Stucco,-,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1922,Yes,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,C,-,15-12-300-003-000,-,"The only residential building in River Forest in a simplified  stone-constructed Collegiate/Gothic Revival.

",Garage,Excellent,Good,Yes,Gale Avenue,343,4,Windows have been replaced on west and south elevations.,-,-,Gothic Revival,-,-,Thomas MacArthur,-,-,Stone,-,-,-,-,-,-,Thomas MacArthur House,-,-,-,1.5,Thomas MacArthur,Stone,-,-,-,Entrance,Nick Kalogeresis at The Lakota Group,-,-,Asphalt Shingle,-,Front Gabled,Porch as classical Revival elements.,-,-,-,October 3 2012,-,-,1 over 1,-,Aluminum,-,-,Fixed
-,Excellent,1926 (moved 1956),Yes,Single Family Residential Building,-,Single Family Residential Building,Good,-,-,-,-,15-12-300-001-0000  15-12-300-025-0000,-,-,Garage,Excellent,Good,No,Gale Avenue,349,4,Soffits have been replaced; windows may also have been replaced.,-,-,Chicago Bungalow,-,-,Robert Smith,-,-,Brick,Vinyl Siding,-,-,-,-,-,Robert Smith House,-,-,House was originally built at 221 Forest.  It was moved in 1956 to make way for Washington School.,1.5,Robert Smith,-,-,-,-,-,Nick Kalogeresis at The Lakota Group,-,-,-,-,-,-,-,-,-,October 3 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1994,-,Commercial Building,-,-,-,No,-,-,No,15-12-222-001-0000,No,-,-,-,-,No,Lake Street,7251,3,-,-,-,Neo Prairie,-,-,-,-,-,Brick,EIFS,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 20 2012,Strip Commercial,-,-,-,-,-,-,-
-,Excellent,1997,-,Commercial Building,-,-,-,No,-,-,No,15-12-220-038-0000,No,-,-,-,-,No,Lake Street,7411,3,-,-,-,Neo Prairie,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Metal,-,Mansard,-,-,-,-,September 20 2012,Two-Part Commercial,-,-,-,-,-,-,-
-,Excellent,2002,-,Multi Family Residential Building,-,-,-,No,-,-,No,15-12-220-037-1001 to 15-12-220-037-1064,No,-,Attached Garage,-,-,No,William Street,435,3,-,-,-,International Style,-,-,-,-,-,Brick,EIFS,-,-,-,-,-,-,-,-,-,4+,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,balconies,-,-,-,September 20 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1973,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,No,15-12-220-032-1007 to 15-12-220-032-1041,No,-,-,-,-,No,Clinton Street,414,3,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,also 7350-54 commercial storefronts,4+,-,-,-,iron balconies,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
Prisco  Duffy & Associates,Excellent,1971,-,Multi Family Residential Building,-,-,-,No,-,-,No,15-12-220-031-1001 to 15-12-220-031-1041,No,-,-,-,-,No,Clinton Street,434,3,-,Prisco  Duffy & Associates,-,Late Modern Eclectic,-,-,Bern Builders,-,-,Brick,-,-,-,-,-,-,-,-,-,address also 7351-7353  retail storefronts,4+,-,-,-,iron balconies,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 20 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1968,-,Commercial Building,-,-,-,No,-,-,No,15-12-220-007-0000  15-12-220-009-0000,No,-,-,-,-,No,Lake Street,7427,3,-,-,-,International Style,-,-,-,-,-,EIFS,-,-,-,-,-,-,-,-,-,exterior modernized recently,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 20 2012,Strip Commercial,-,-,-,-,-,-,-
-,Excellent,2005,-,Multi Family Residential Building,202,-,-,No,-,-,No,15-12-219-043-1001 to 15-12-219-043-1016,No,-,Attached Garage,-,-,No,Lathrop Avenue,411417,3,-,-,-,Neo Revival,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,4+,-,-,-,stone detailing and balustrades,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 21 2012,Courtyard Apartment,-,-,-,-,-,-,-
-,Excellent,1999,-,Commercial Building,155,-,-,No,-,-,No,15-12-219-038-0000,No,-,-,-,-,No,Lake Street,7525,3,-,-,-,Late Modern Eclectic,-,-,-,-,Jewel Osco,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Mansard,brick arched openings,-,-,-,September 20 2012,Strip Commercial,-,-,-,-,-,-,-
-,Excellent,1963,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,No,15-12-219-036-1001 to 15-12-219-036-1015,No,-,Attached Garage,-,-,No,Lathrop Avenue,405409,3,replacement windows,-,-,Mid-Century Modern,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,2,-,-,-,"stone panels  brick ""shutters""",-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,September 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1927,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-12-217-041-1001  15-12-217-041-1002  15-12-217-041-1003  15-12-217-041-1005  15-12-217-041-1006  15-12-217-041-1007  15-12-217-041-1008,Yes,-,Garage,Good,Excellent,No,Lake Street,736062,3,replacement windows,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,stone shields & quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,2002,-,Multi Family Residential Building,-,-,-,No,-,-,-,15-12-217-040-1001  15-12-217-040-1002  15-12-217-040-1003  15-12-217-040-1004,No,-,-,-,-,No,Lake Street,7366,3,-,-,-,Late Modern Eclectic,-,-,-,-,-,Brick,Stone,-,-,-,-,-,-,-,-,-,4+,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Metal,-,Mansard,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1927,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-12-217-038-1001  15-12-217-038-1002  15-12-217-038-1003  15-12-217-038-1004  15-12-217-038-1005  15-12-217-038-1006  15-12-217-038-1007  15-12-217-038-1008  15-12-217-038-1009  15-12-217-038-1010  15-12-217-038-1011  15-12-217-038-1012,Yes,-,Garage,Good,Excellent,No,Lake Street,734850,3,replacement windows,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,stone shields & quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1927,-,Multi Family Residential Building,70,Multi Family Residential Building,Excellent,No,-,-,-,15-12-217-037-1001  15-12-217-037-1002  15-12-217-037-1003  15-12-217-037-1004  15-12-217-037-1005  15-12-217-037-1006  15-12-217-037-1007  15-12-217-037-1008  15-12-217-037-1009  15-12-217-037-1010  15-12-217-037-1011  15-12-217-037-1012,Yes,-,Garage,Good,Excellent,No,Lake Street,734446,3,replacement windows,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,stone shields & quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1930,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-12-217-036-1001  15-12-217-036-1002  15-12-217-036-1003  15-12-217-036-1004  15-12-217-036-1005  15-12-217-036-1006  15-12-217-036-1007  15-12-217-036-1008  15-12-217-036-1009  15-12-217-036-1010  15-12-217-036-1011  15-12-217-036-1012,Yes,-,Garage,Good,Excellent,No,Lake Street,735254,3,replacement windows,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,stone shields & quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
Robert Shoyer,Excellent,1966,-,Multi Family Residential Building,-,Multi Family Residential Building,Good,No,-,-,-,15-12-217-034-1001  15-12-217-034-1002  15-12-217-034-1003  15-12-217-034-1004  15-12-217-034-1005  15-12-217-034-1006  15-12-217-034-1007  15-12-217-034-1008  15-12-217-034-1009,No,-,-,-,-,No,Lake Street,7318,3,replacement windows,Robert Shoyer & Associates,-,Colonial Revival,-,-,Frank Munao Builder,-,-,Brick,-,-,-,-,-,-,-,-,-,-,3,-,-,-,classical porticos  brick quoins,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
Ray Basso,Excellent,1968,-,Multi Family Residential Building,68,-,-,No,-,-,-,15-12-217-033-1001  15-12-217-033-1002  15-12-217-033-1003  15-12-217-033-1004  15-12-217-033-1005  15-12-217-033-1006  15-12-217-033-1007  15-12-217-033-1008  15-12-217-033-1009,No,-,-,-,-,No,Lake Street,7320,3,-,Ray Basso & Associates,-,Late Modern Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,iron grilles,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Slate,-,Mansard,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
B.J. Bruns,Good,1943,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-12-217-031-0000  15-12-214-029-0000  15-12-217-030-0000  15-12-217-029-0000  15-12-214-028-0000  15-12-217-028-0000  15-12-217-027-0000,Yes,-,-,-,-,No,William Street,50311,3,-,B.J. Bruns,-,Colonial Revival,-,-,O.L. Bessinger,-,-,Brick,-,-,-,-,-,-,Williamsburg Colonial Apartments,-,-,This apartment building was built during WWII for executives working in a war production plant.,2,-,-,-,bay windows  classical porch & entries,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Excellent,1927,-,Multi Family Residential Building,-,Multi Family Residential Building,Excellent,No,-,-,-,15-12-217-017-0000,Yes,-,Garage,Good,Excellent,No,Lake Street,735658,3,-,-,-,Tudor Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,4+,-,-,-,stone shields & quoins,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Not visible/cannot be determined,-,Flat,-,-,-,-,August 21 2012,Apartment Flat/Block,-,-,-,-,-,-,-
-,Poor,1924,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-217-013-0000,Yes,-,-,-,-,No,Bonnie Brae Place,518,3,brick painted,-,-,Chicago Bungalow,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,August 21 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1919,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-217-012-0000,Yes,-,-,-,-,No,Bonnie Brae Place,522,3,brick painted,-,-,Chicago Bungalow,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped,-,-,-,-,August 21 2012,Bungalow,-,-,-,-,-,-,-
-,Good,1869,-,Single Family Residential Building,247,Single Family Residential Building,Good,No,-,-,-,15-12-217-011-0000,Yes,-,Garage,Excellent,Good,No,Bonnie Brae Place,526,3,porch altered,-,-,Italianate,-,-,-,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,-,-,-,eaves brackets,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Cross gabled,-,-,-,-,August 21 2012,L-Shaped Cottage/House,-,-,-,-,-,-,-
-,Excellent,1925,-,Single Family Residential Building,59,Single Family Residential Building,Excellent,No,-,-,-,15-12-217-010-0000,Yes,-,Garage,Good,Good,No,Holly Court,7315,3,-,-,-,Colonial Revival,-,-,-,-,-,Wood clapboard,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical portico,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Gambrel,-,-,-,-,August 21 2012,-,-,-,-,-,-,-,-
-,Excellent,1924,-,Single Family Residential Building,63,Single Family Residential Building,Good,No,-,-,-,15-12-217-009-0000,Yes,-,Garage,-,-,No,Holly Court,7319,3,entry portico enclosed,-,-,Colonial Revival,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,classical portico,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,August 21 2012,-,-,-,-,-,-,-,-
Architect's Small House Service Bureau,Excellent,1925,-,Single Family Residential Building,67,Single Family Residential Building,Excellent,No,-,-,-,15-12-217-008-0000,Yes,-,Garage,-,-,No,Holly Court,7323,3,-,Architect's Small House Service Bureau,-,Colonial Revival,-,-,-,-,-,Wood Shingles,-,-,-,-,-,-,-,-,-,the ASHSB was a house plan service in Minnesota that worked to improve the quality of affordable house design in the 1920s and 30s,2,-,-,-,classical entry surround  shutters,Yes,-,Doug Gilbert  Douglas Gilbert Architect,-,Guidebook to the Architecture of River Forest,Asphalt Shingle,-,Side Gabled,-,-,-,-,August 21 2012,-,-,-,-,-,-,-,-
-,Excellent,1926,-,Single Family Residential Building,77,Single Family Residential Building,Good,No,-,-,-,15-12-217-007-0000,Yes,-,Attached Garage,-,-,No,Holly Court,7327,3,replacement windows  resided,-,-,Craftsman,-,-,-,-,-,Brick,Aluminum Siding,-,-,-,-,-,-,-,-,-,1.5,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Side Gabled,-,-,-,-,August 21 2012,Bungalow,-,-,-,-,-,-,-
-,Excellent,1940,-,Single Family Residential Building,-,Single Family Residential Building,Excellent,No,-,-,-,15-12-217-006-0000,Yes,-,Garage,Good,Good,No,Holly Court,7333,3,-,-,-,French Eclectic,-,-,-,-,-,Brick,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Tile,-,Hipped,-,-,-,-,August 21 2012,-,-,-,-,-,-,-,-
-,Good,1878,-,Single Family Residential Building,85,Single Family Residential Building,Good,No,-,-,-,15-12-217-005-0000,Yes,-,Garage,-,-,No,Holly Court,7335,3,resided  massing altered,-,-,Queen Anne,-,-,-,-,-,Wood Shingles,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Hipped with Cross Gable,-,-,-,-,August 21 2012,-,-,-,-,-,-,-,-
-,Excellent,1916,-,Single Family Residential Building,-,Single Family Residential Building,Good,No,-,-,-,15-12-217-004-0000,Yes,-,Garage,-,-,No,Holly Court,7339,3,-,-,-,Tudor Revival,-,-,-,-,-,Brick,Wood Shingles,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,Doug Gilbert  Douglas Gilbert Architect,-,-,Asphalt Shingle,-,Front Gabled,-,-,-,-,August 21 2012,-,-,-,-,-,-,-,-
